,date,week_day,month,daily_income,unique_visitors
213,2019-01-23,2,1,2300.0,9
214,2019-01-24,3,1,1750.0,8
215,2019-01-25,4,1,3450.0,10
216,2019-01-26,5,1,4460.0,17
217,2019-01-27,6,1,4320.0,16
218,2019-01-28,0,1,550.0,5
219,2019-01-29,1,1,2240.0,11
220,2019-01-30,2,1,800.0,7
221,2019-01-31,3,1,3700.0,12
222,2019-02-01,4,2,3950.0,15
223,2019-02-02,5,2,6070.0,16
224,2019-02-03,6,2,7860.0,14
225,2019-02-04,0,2,2950.0,10
226,2019-02-05,1,2,1250.0,8
227,2019-02-06,2,2,1100.0,6
228,2019-02-07,3,2,2550.0,10
229,2019-02-08,4,2,4820.0,11
230,2019-02-09,5,2,5320.0,19
231,2019-02-10,6,2,3100.0,13
232,2019-02-11,0,2,1550.0,7
233,2019-02-12,1,2,3700.0,12
234,2019-02-13,2,2,1800.0,7
235,2019-02-14,3,2,4010.0,13
236,2019-02-15,4,2,1000.0,7
237,2019-02-16,5,2,4630.0,15
238,2019-02-17,6,2,4110.0,12
239,2019-02-18,0,2,3050.0,9
240,2019-02-19,1,2,3700.0,10
241,2019-02-20,2,2,1150.0,6
242,2019-02-21,3,2,1500.0,11
243,2019-02-22,4,2,9700.0,13
244,2019-02-23,5,2,6520.0,16
245,2019-02-24,6,2,7360.0,12
246,2019-02-25,0,2,2850.0,10
247,2019-02-26,1,2,150.0,3
248,2019-02-27,2,2,1910.0,9
249,2019-02-28,3,2,2800.0,11
250,2019-03-01,4,3,5550.0,19
251,2019-03-02,5,3,5080.0,14
252,2019-03-03,6,3,2800.0,12
253,2019-03-04,0,3,1150.0,6
254,2019-03-05,1,3,1350.0,5
255,2019-03-06,2,3,1950.0,8
256,2019-03-07,3,3,4050.0,12
257,2019-03-08,4,3,1970.0,9
258,2019-03-09,5,3,4190.0,12
259,2019-03-10,6,3,1050.0,8
260,2019-03-11,0,3,740.0,4
261,2019-03-12,1,3,3320.0,16
262,2019-03-13,2,3,1450.0,6
263,2019-03-14,3,3,2150.0,10
264,2019-03-15,4,3,3700.0,13
265,2019-03-16,5,3,6890.0,19
266,2019-03-17,6,3,8100.0,15
267,2019-03-18,0,3,2250.0,10
268,2019-03-19,1,3,2270.0,14
269,2019-03-20,2,3,1900.0,9
270,2019-03-21,3,3,3550.0,12
271,2019-03-22,4,3,3040.0,10
272,2019-03-23,5,3,6700.0,14
273,2019-03-24,6,3,3410.0,16
274,2019-03-25,0,3,3350.0,10
275,2019-03-26,1,3,250.0,6
276,2019-03-27,2,3,4020.0,13
277,2019-03-28,3,3,5100.0,13
278,2019-03-29,4,3,3870.0,13
279,2019-03-30,5,3,9900.0,17
280,2019-03-31,6,3,3440.0,11
281,2019-04-01,0,4,3370.0,11
282,2019-04-02,1,4,2660.0,7
283,2019-04-03,2,4,2400.0,8
284,2019-04-04,3,4,2450.0,10
285,2019-04-05,4,4,4950.0,18
286,2019-04-06,5,4,5000.0,12
287,2019-04-07,6,4,2650.0,13
288,2019-04-08,0,4,1500.0,7
289,2019-04-09,1,4,700.0,4
290,2019-04-10,2,4,450.0,5
291,2019-04-11,3,4,1700.0,4
292,2019-04-12,4,4,1170.0,5
293,2019-04-13,5,4,8660.0,22
294,2019-04-14,6,4,2820.0,10
295,2019-04-15,0,4,1150.0,6
296,2019-04-16,1,4,2200.0,11
297,2019-04-17,2,4,1550.0,8
298,2019-04-18,3,4,1350.0,7
299,2019-04-19,4,4,1740.0,6
300,2019-04-20,5,4,2720.0,13
301,2019-04-21,6,4,2500.0,9
302,2019-04-22,0,4,950.0,4
303,2019-04-23,1,4,2350.0,8
304,2019-04-24,2,4,550.0,4
305,2019-04-25,3,4,1550.0,7
306,2019-04-26,4,4,2400.0,8
307,2019-04-27,5,4,1640.0,9
308,2019-04-28,6,4,1550.0,11
309,2019-04-29,0,4,400.0,3
310,2019-04-30,1,4,4150.0,10
311,2019-05-01,2,5,1100.0,7
312,2019-05-02,3,5,900.0,6
313,2019-05-03,4,5,900.0,6
314,2019-05-04,5,5,1200.0,6
315,2019-05-05,6,5,1750.0,5
316,2019-05-06,0,5,1820.0,10
317,2019-05-07,1,5,850.0,6
318,2019-05-08,2,5,11820.0,6
319,2019-05-09,3,5,2400.0,6
320,2019-05-10,4,5,4600.0,13
321,2019-05-11,5,5,4420.0,9
322,2019-05-12,6,5,2950.0,9
323,2019-05-13,0,5,1270.0,7
324,2019-05-14,1,5,0.0,3
325,2019-05-15,2,5,2350.0,4
326,2019-05-16,3,5,400.0,6
327,2019-05-17,4,5,1500.0,6
328,2019-05-18,5,5,4400.0,8
329,2019-05-19,6,5,1750.0,7
330,2019-05-20,0,5,1300.0,5
331,2019-05-21,1,5,1650.0,7
332,2019-05-22,2,5,1020.0,5
333,2019-05-23,3,5,1400.0,7
334,2019-05-24,4,5,1050.0,4
335,2019-05-25,5,5,3220.0,8
336,2019-05-26,6,5,1940.0,8
337,2019-05-27,0,5,700.0,6
338,2019-05-28,1,5,1300.0,7
339,2019-05-29,2,5,2350.0,5
340,2019-05-30,3,5,1440.0,5
341,2019-05-31,4,5,1950.0,3
342,2019-06-01,5,6,6500.0,9
343,2019-06-02,6,6,450.0,2
344,2019-06-03,0,6,970.0,7
345,2019-06-04,1,6,1430.0,4
